Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,Break_Enter_Commercial_num,Break_Enter_Dwelling_num,Break_Enter_Other_num,Assault_Nondomestic_num,Commercial_Robbery_num,Street_Robbery_num,Theft_FROM_Vehicle_num,Theft_OF_Vehicle_num,Violence_Other_Non_domestic_num,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_0_4,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_5_14,age_55_64,age_65_74,age_75_plus,age_0_4_percentage_num,age_15_19_percentage_num,age_20_24_percentage_num,age_25_34_percentage_num,age_35_44_percentage_num,age_45_54_percentage_num,age_5_14_percentage_num,age_55_64_percentage_num,age_65_74_percentage_num,age_75_plus_percentage_num,total_people,total_males,total_females,total_other,male_percentage_num,female_percentage_num,other_percentage_num,Residential_Improvement_Project,Demolition,Single_Construction_Permit,Commercial_Multi_Family_Project,Environmental_Restoration_Permit,TotalPermits,calgary_cer_unemployment_rate_num,alberta_unemployment_rate_num,canada_unemployment_rate_num,calgary_cer_total_employment_000_persons_num,calgary_cer_total_employment_month_over_month_change_000_persons,calgary_cer_total_employment_year_over_year_change_000_persons,calgary_cma_average_hourly_wage_rate_num,city_of_calgary_building_permits_residential_value_num,city_of_calgary_building_permits_non_residential_value_num,calgary_city_total_housing_starts_units_num,calgary_cer_retail_sales_billions_num,calgary_cma_total_housing_starts_units,calgary_cma_inflation_rate_change,CLASS_CODE,COMM_NAME,median
ABBEYDALE,ABB,2018,5957,108,NORTHEAST,-113.927803856151,51.0594150069642,1812.99311734094,7.50273441446576,.0185,.1111,0,.1481,.0556,.0556,.2222,.1852,.0741,3768.14208984375,4199.87158203125,366,361,333,835,1004,792,946,792,391,131,6.15,6.07,5.6,14.03,16.87,13.31,15.9,13.31,6.57,2.2,5951,3056,2895,0,51.35,48.65,0,23,0,0,2,0,25,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,ABBEYDALE,304000
ACADIA,ACA,2018,10520,341,SOUTH,-114.053696016182,50.9724150733473,3241.44486692015,8.08377445596205,.141,.0897,0,.1538,.0256,.0256,.1538,.1538,.1282,1568.29138183593,3086.1259765625,539,408,509,1659,1706,1339,920,1537,931,952,5.13,3.89,4.85,15.8,16.25,12.75,8.76,14.64,8.87,9.07,10500,5310,5171,19,50.57,49.25,.18,57,1,0,22,0,80,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,ACADIA,404000
ALBERT PARK/RADISSON HEIGHTS,ALB,2018,6997,286,EAST,-113.996777935267,51.0445329525239,4087.46605688152,8.31568051104418,.1412,.1294,0,.1176,.0353,.0353,.1412,.1412,.1176,389.981170654296,2099.13842773437,577,314,418,1434,1220,885,781,735,364,259,8.26,4.49,5.98,20.52,17.46,12.67,11.18,10.52,5.21,3.71,6987,3627,3360,0,51.91,48.09,0,33,6,12,18,0,69,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""ALBERT PARK/RADISSON HEIGHTS""",314000
ALTADORE,ALT,2018,6942,173,CENTRE,-114.100782394686,51.0159541182987,2492.07721117833,7.82087186304628,.0545,.1091,0,.1455,0,0,.2182,.1818,.0727,2836.8837890625,2916.12573242187,531,334,321,1158,1386,1085,958,679,319,158,7.66,4.82,4.63,16.71,20,15.66,13.83,9.8,4.6,2.28,6929,3394,3535,0,48.98,51.02,0,72,45,58,16,0,191,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,ALTADORE,759750
APPLEWOOD PARK,APP,2018,6981,127,EAST,-113.927810258778,51.0448748321394,1819.2236069331,7.50616509945842,.2075,.1132,0,.1132,0,.0377,.2264,.1887,.0377,4053.16088867187,4619.52978515625,431,459,545,893,1152,991,849,996,449,202,6.19,6.59,7.82,12.82,16.54,14.22,12.19,14.3,6.44,2.9,6967,3540,3419,8,50.81,49.07,.11,5,0,1,0,0,6,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""APPLEWOOD PARK""",359750
ARBOUR LAKE,ARB,2018,10619,275,NORTHWEST,-114.207674980752,51.1325947114686,2589.69771164893,7.85929643423295,.1463,.1341,0,.1341,.0732,.0976,.1463,.1341,.0976,1132.82067871093,9085.5078125,441,823,715,1012,1288,1748,1116,1489,1078,887,4.16,7.77,6.75,9.55,12.15,16.5,10.53,14.05,10.17,8.37,10597,5168,5422,7,48.77,51.17,.07,35,2,1,30,0,68,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""ARBOUR LAKE""",465500
ASPEN WOODS,ASP,2018,9446,126,WEST,-114.207801762625,51.0451814813446,1333.89794622062,7.19586072146564,.1591,.25,0,.0455,0,.0227,.2273,.1818,.0909,1643.64099121093,4024.09155273437,674,666,388,965,1875,1644,1836,823,325,227,7.15,7.07,4.12,10.24,19.9,17.45,19.48,8.73,3.45,2.41,9423,4650,4767,6,49.35,50.59,.06,49,0,27,8,0,84,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""ASPEN WOODS""",765750
AUBURN BAY,AUB,2018,17607,168,SOUTHEAST,-113.957817281387,50.8927053465754,954.165956721758,6.86083761514704,.1607,.1786,0,.0536,0,0,.2143,.2143,.1071,7785.3115234375,7251.5791015625,1825,808,593,3232,4109,1905,3345,983,577,215,10.37,4.59,3.37,18.37,23.36,10.83,19.01,5.59,3.28,1.22,17592,8722,8831,39,49.58,50.2,.22,178,0,12,6,0,196,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""AUBURN BAY""",461500
BONAVISTA DOWNS,BDO,2018,928,7,SOUTH,-114.031505473035,50.9437304298689,754.310344827586,6.62580388123934,0,0,0,0,0,0,.5714,.2857,.1429,2820.29858398437,4550.9814453125,59,34,35,127,184,122,94,141,83,46,6.38,3.68,3.78,13.73,19.89,13.19,10.16,15.24,8.97,4.97,925,488,437,0,52.76,47.24,0,4,0,0,0,0,4,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""BONAVISTA DOWNS""",425250
BEDDINGTON HEIGHTS,BED,2018,11514,223,NORTH,-114.084911140805,51.1316439853221,1936.77262463088,7.56877827119459,.1014,.1304,0,.1594,0,.0435,.1739,.1739,.1014,5936.8740234375,4046.49096679687,702,536,694,1723,1799,1438,1476,1655,1007,461,6.11,4.66,6.04,14.99,15.66,12.51,12.84,14.4,8.76,4.01,11491,5730,5748,13,49.87,50.02,.11,41,0,0,5,0,46,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""BEDDINGTON HEIGHTS""",359500
